Name,Population,Population1990,Population1980,CollegeGrad,IncomeperCapita
Alabama,4252982,4040389,3894025,15.7,17129
Alaska,603617,550043,401851,23,23070
Arizona,4217940,3665339,2716546,20.3,18085
Arkansas,2483769,2350624,2286357,13.3,15995
California,31589153,29758213,23667765,23.4,21895
Colorado,3746585,3294473,2889735,27,21498
Connecticut,3274662,3287116,3107564,27.2,28151
Delaware,717197,666168,594338,21.4,21852
District of Columbia,554256,606900,638432,33.3,29500
Florida,14165570,12938071,9746961,18.3,20650
Georgia,7200882,6478149,5462982,19.3,19249
Hawaii,1186815,1108229,964691,22.9,23504
Idaho,1163261,1006734,944127,17.7,17512
Illinois,11829940,11430602,11427409,21,22560
Indiana,5803471,5544156,5490214,15.6,19213
Iowa,2841764,2776831,2913808,16.9,18275
Kansas,2565328,2477588,2364236,21.1,19849
Kentucky,3860219,3686891,3660324,13.6,16889
Louisiana,4342334,4220164,4206116,16.1,16612
Maine,1241382,1227928,1125043,18.8,18780
Maryland,5042438,4780753,4216933,26.5,23908
Massachusetts,6073550,6016425,5737093,27.2,24410
Michigan,9549353,9295277,9262044,17.4,20584
Minnesota,4609548,4375665,4075970,21.8,20979
Mississippi,2697243,2575475,2520770,14.7,14745
Missouri,5323523,5116901,4916766,17.8,19557
Montana,870281,799065,786690,19.8,17376
Nebraska,1637112,1578417,1569825,18.9,19672
Nevada,1530108,1201675,800508,15.3,22894
New Hampshire,1148253,1109252,920610,24.4,22357
New Jersey,7945298,7730188,7365011,24.9,26876
New Mexico,1685401,1515069,1303302,20.4,16346
New York,18136081,17990778,17558165,23.1,24824
North Carolina,7195138,6632448,5880095,17.4,18670
North Dakota,641367,638800,652717,18.1,17072
Ohio,11150506,10847115,10797603,17,19696
Oklahoma,3277687,3145576,3025487,17.8,17026
Oregon,3140585,2842337,2633156,20.6,19437
Pennsylvania,12071842,11882842,11864720,17.9,21281
Rhode Island,989794,1003464,947154,21.3,21244
South Carolina,3673287,3486310,3120729,16.6,16861
South Dakota,729034,696004,690768,17.2,17879
Tennessee,5256051,4877203,4591023,16,18439
Texas,18723991,16986335,14225513,20.3,19145
Utah,1951408,1722850,1461037,22.3,16136
Vermont,584771,562758,511456,24.3,19437
Virginia,6618358,6189197,5346797,24.5,21653
Washington,5430940,4866669,4132353,22.9,21774
West Virginia,1828140,1793477,1950186,12.3,16169
Wisconsin,5122871,4891769,4705642,17.7,19806
Wyoming,480184,453589,469557,18.8,19719
